"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2539";"http://almoune.fr/img/p/0.jpg";"Oeuf grand calibre";"";"Accueil";"0.290000";"0.31";"-269";"1";
"2936";"http://almoune.fr/img/p/0.jpg";"Amande batonnet 1kg";"";"Accueil";"9.004739";"9.5";"-4";"1";
"1858";"http://almoune.fr/img/p/0.jpg";"NOISETTES OREGAL 1 KG";"";"Accueil";"14.650000";"15.46";"-14";"1";
"1042";"http://almoune.fr/img/p/0.jpg";"Artichauts Boustani 400gr";"";"Légumineuses et grains";"2.843602";"3";"0";"1";
"2083";"http://almoune.fr/img/p/0.jpg";"Pois chiches cuits - Cortas 3,2 kg";"";"Conserves";"5.924171";"6.25";"-14";"1";
"2714";"http://almoune.fr/img/p/0.jpg";"Kettle Master Chips 37 gr vinaigre";"";"Accueil";"0.710900";"0.75";"-31";"1";
"2878";"http://almoune.fr/img/p/0.jpg";"mega chips poulet 50gr";"";"Accueil";"0.521327";"0.55";"-36";"1";
"1801";"http://almoune.fr/img/p/0.jpg";"Labne Golden Plate 500gr";"";"Accueil";"3.317536";"3.5";"-111";"1";
"981";"http://almoune.fr/img/p/0.jpg";"Adida Cumin 500gr.";"";"Épices";"4.502370";"4.75";"-1";"1";
"2310";"http://almoune.fr/img/p/0.jpg";"Huile d'olive Italienne 5l";"";"Accueil";"40.284360";"42.5";"-2";"1";
"2828";"http://almoune.fr/img/p/0.jpg";"Epice burger Abido 50gr";"";"Accueil";"1.800948";"1.9";"8";"1";
"1350";"http://almoune.fr/img/p/0.jpg";"Concombre Mariné Mechaalany 400g.";"";"Accueil";"3.308057";"3.49";"-21";"1";
"2199";"http://almoune.fr/img/p/0.jpg";"olive durra vert 660 gr";"";"Accueil";"2.834123";"2.99";"-5";"1";
"2658";"http://almoune.fr/img/p/0.jpg";"Canard au kg";"";"Accueil";"7.962085";"8.4";"0";"1";
"717";"http://almoune.fr/img/p/0.jpg";"Concombres Marinés Cortas 625 gr.";"";"Légumes Marinés";"3.706161";"3.91";"-8";"1";
"2431";"http://almoune.fr/img/p/0.jpg";"grillee et salee 400g";"";"Accueil";"2.834123";"2.99";"0";"1";
"2253";"http://almoune.fr/img/p/0.jpg";"Pignons longs d'Espagne";"";"Accueil";"18.815166";"19.85";"-3";"1";
"2770";"http://almoune.fr/img/p/0.jpg";"Saucisse de noix Selcuk 300";"";"Accueil";"4.265403";"4.5";"6";"1";
"2547";"http://almoune.fr/img/p/0.jpg";"labne fino 5kg";"";"Accueil";"2.445498";"2.58";"-109";"1";
"2944";"http://almoune.fr/img/p/0.jpg";"seven up 33cl";"";"Accueil";"0.549763";"0.58";"-23";"1";
"1300";"http://almoune.fr/img/p/0.jpg";"Arak ";"";"Accueil";"17.000000";"20.4";"0";"1";
"2999";"http://almoune.fr/img/p/0.jpg";"Bavette boeuf Kg";"";"Accueil";"14.900474";"15.72";"-24";"1";
"1919";"http://almoune.fr/img/p/0.jpg";"Purée de piment fort - Altunsa 650g";"";"Accueil";"3.364929";"3.55";"0";"1";
"2491";"http://almoune.fr/img/p/0.jpg";"Huile d'olive Pomo Rosso 5L";"";"Accueil";"45.971564";"48.5";"-16";"1";
